label,data,lowercase,mapping_dict,remove_non_alphabet,no_whitespace,no_punctuation,standardized_word,stopwords,tokenized
joy,Asa raos lalampah liverpool kengeng mah.Nuhun gusti dinteun iyeu meni bungah pisan.Teu saat2 kabungah abi. Nuhun liverpool,asa raos lalampah liverpool kengeng mah.nuhun gusti dinteun iyeu meni bungah pisan.teu saat2 kabungah abi. nuhun liverpool,asa raos lalampah liverpool kengeng mah.nuhun gusti dinteun iyeu meni bungah pisan.teu saat2 kabungah abi. nuhun liverpool,asa raos lalampah liverpool kengeng mah nuhun gusti dinteun iyeu meni bungah pisan teu saat  kabungah abi  nuhun liverpool,asa raos lalampah liverpool kengeng mah nuhun gusti dinteun iyeu meni bungah pisan teu saat kabungah abi nuhun liverpool,asa raos lalampah liverpool kengeng mah nuhun gusti dinteun iyeu meni bungah pisan teu saat kabungah abi nuhun liverpool,asa raos lalampah liverpool kengeng mah hatur nuhun gusti dinteun iyeu meni bungah pisan teu saat kabungah abi hatur nuhun liverpool,raos lalampah kengeng hatur nuhun dinteun bungah teu kabungah hatur nuhun,"['raos', 'lalampah', 'kengeng', 'hatur', 'nuhun', 'dinteun', 'bungah', 'teu', 'kabungah', 'hatur', 'nuhun']"
joy,Bagja boga pamingpin jiga kang @ridwankamil ..nuhun kang,bagja boga pamingpin jiga kang @ridwankamil ..nuhun kang,bagja boga pamingpin jiga kang @ridwankamil ..nuhun kang,bagja boga pamingpin jiga kang  ridwankamil   nuhun kang,bagja boga pamingpin jiga kang ridwankamil nuhun kang,bagja boga pamingpin jiga kang ridwankamil nuhun kang,bagja boga pamingpin jiga kang ridwankamil hatur nuhun kang,bagja boga pamingpin jiga ridwankamil hatur nuhun,"['bagja', 'boga', 'pamingpin', 'jiga', 'ridwankamil', 'hatur', 'nuhun']"
anger,Nuhun nuhun atuh saria teh kehed euweuh pisan syukuranna rudet,nuhun nuhun atuh saria teh kehed euweuh pisan syukuranna rudet,nuhun nuhun atuh saria teh kehed euweuh pisan syukur rudet,nuhun nuhun atuh saria teh kehed euweuh pisan syukur rudet,nuhun nuhun atuh saria teh kehed euweuh pisan syukur rudet,nuhun nuhun atuh saria teh kehed euweuh pisan syukur rudet,hatur nuhun hatur nuhun atuh saria teh kehed euweuh pisan syukur rudet,hatur nuhun hatur nuhun saria euweuh,"['hatur', 'nuhun', 'hatur', 'nuhun', 'saria', 'euweuh']"
fear,"Tuh nya , padahal saya mah aslina asa melang tur hariwang !! Lain nanaon , soalna didinya pan parantos didapuk janten duta rekonsiliasi antara 01 02 , lamun ujug2 kainjek vaksin palsu , pan nu lain jadi sarieun bade rekonsiliasi , pajar duta na oge diracun vaksin palsu","tuh nya , padahal saya mah aslina asa melang tur hariwang !! lain nanaon , soalna didinya pan parantos didapuk janten duta rekonsiliasi antara 01 02 , lamun ujug2 kainjek vaksin palsu , pan nu lain jadi sarieun bade rekonsiliasi , pajar duta na oge diracun vaksin palsu","tuh nya , padahal saya mah aslina asa melang tur hariwang !! lain nanaon , soalna didinya pan parantos didapuk janten duta rekonsiliasi antara 01 02 , lamun ujug2 kainjek vaksin palsu , pan nu lain jadi sarieun bade rekonsiliasi , pajar duta na oge diracun vaksin palsu",tuh nya   padahal saya mah aslina asa melang tur hariwang    lain nanaon   soalna didinya pan parantos didapuk janten duta rekonsiliasi antara         lamun ujug  kainjek vaksin palsu   pan nu lain jadi sarieun bade rekonsiliasi   pajar duta na oge diracun vaksin palsu,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya pan parantos didapuk janten duta rekonsiliasi antara lamun ujug kainjek vaksin palsu pan nu lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya pan parantos didapuk janten duta rekonsiliasi antara lamun ujug kainjek vaksin palsu pan nu lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu,tuh nya padahal saya mah aslina asa melang tur hariwang lain nanaon soalna didinya pan parantos didapuk janten duta rekonsiliasi antara lamun ujug-ujug kainjek vaksin palsu pan nu boga lain jadi sarieun bade rekonsiliasi pajar duta na oge diracun vaksin palsu,tuh aslina melang tur hariwang nanaon soalna didinya parantos didapuk janten duta rekonsiliasi ujug-ujug kainjek vaksin palsu boga jadi sarieun bade rekonsiliasi pajar duta diracun vaksin palsu,"['tuh', 'aslina', 'melang', 'tur', 'hariwang', 'nanaon', 'soalna', 'didinya', 'parantos', 'didapuk', 'janten', 'duta', 'rekonsiliasi', 'ujug-ujug', 'kainjek', 'vaksin', 'palsu', 'boga', 'jadi', 'sarieun', 'bade', 'rekonsiliasi', 'pajar', 'duta', 'diracun', 'vaksin', 'palsu']"
joy,mm wareg!! alhamdulillah Gusti meuni nikmat..,mm wareg!! alhamdulillah gusti meuni nikmat..,mm wareg!! alhamdulilahh gusti meuni nikmat..,mm wareg   alhamdulilahh gusti meuni nikmat  ,mm wareg alhamdulilahh gusti meuni nikmat ,mm wareg alhamdulilahh gusti meuni nikmat ,mm wareg alhamdulilahh gusti meuni nikmat,wareg alhamdulilahh meuni nikmat,"['wareg', 'alhamdulilahh', 'meuni', 'nikmat']"
fear,"centeng mah boraha jd mantan, dideukeutan oge ngadegdeg sieun","centeng mah boraha jd mantan, dideukeutan oge ngadegdeg sieun","centeng mah boraha jd mantan, dideukeutan oge ngadegdeg sieun",centeng mah boraha jd mantan  dideukeutan oge ngadegdeg sieun,centeng mah boraha jd mantan dideukeutan oge ngadegdeg sieun,centeng mah boraha jd mantan dideukeutan oge ngadegdeg sieun,centeng mah boraha jd mantan dideukeutan oge ngadegdeg sieun,centeng boraha jd mantan dideukeutan ngadegdeg sieun,"['centeng', 'boraha', 'jd', 'mantan', 'dideukeutan', 'ngadegdeg', 'sieun']"
sadness,"Urang hayang leweh, lain nyengcerikan jelema, tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun.","urang hayang leweh, lain nyengcerikan jelema, tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun.","urang hayang leweh, lain nyengcerikan jelema, tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun.",urang hayang leweh  lain nyengcerikan jelema  tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun ,urang hayang leweh lain nyengcerikan jelema tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun ,urang hayang leweh lain nyengcerikan jelema tapi hayang leweh naha sih sifat teu bener nu maraneh na boga naha jadi ka urangkeun ,urang hayang leweh lain nyengcerikan jelema tapi hayang leweh naha sih sifat teu bener nu boga maraneh na boga naha jadi ka urangkeun,urang hayang leweh nyengcerikan hayang leweh sifat teu bener boga maraneh boga jadi urangkeun,"['urang', 'hayang', 'leweh', 'nyengcerikan', 'hayang', 'leweh', 'sifat', 'teu', 'bener', 'boga', 'maraneh', 'boga', 'jadi', 'urangkeun']"
fear,Tuh pan ahirnamah ngaku ning? Aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur! Duh Gusti.,tuh pan ahirnamah ngaku ning? aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur! duh gusti.,tuh pan ahirnamah ngaku ning? aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur! duh gusti.,tuh pan ahirnamah ngaku ning  aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur  duh gusti ,tuh pan ahirnamah ngaku ning aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur duh gusti ,tuh pan ahirnamah ngaku ning aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur duh gusti ,tuh pan ahirnamah ngaku ning aduh jadi sarieun kieu nya asa teu araman bade kamamana teh palaur duh gusti,tuh ahirnamah ngaku ning jadi sarieun teu araman bade kamamana palaur,"['tuh', 'ahirnamah', 'ngaku', 'ning', 'jadi', 'sarieun', 'teu', 'araman', 'bade', 'kamamana', 'palaur']"
anger,Lamun kieu mh gs cenderung membahayalan keselamatan tim atuh? punten wee.. MANAJEMEN GOBLOG!!!,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh? punten wee.. manajemen goblog!!!,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh? punten wee.. manajemen goblog!!!,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh  punten wee   manajemen goblog   ,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh punten wee manajemen goblog ,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh punten wee manajemen goblog ,lamun kieu mh gs cenderung membahayalan keselamatan tim atuh punten wee manajemen goblog,mh gs cenderung membahayalan keselamatan tim punten manajemen,"['mh', 'gs', 'cenderung', 'membahayalan', 'keselamatan', 'tim', 'punten', 'manajemen']"
joy,"Bungah datang teu wasa balik,mendak bagja nu teu ditampik ,Syukur kengeng munajat ti Gusti,,kempel sareng kulawargi,,","bungah datang teu wasa balik,mendak bagja nu teu ditampik ,syukur kengeng munajat ti gusti,,kempel sareng kulawargi,,","bungah datang teu wasa balik,mendak bagja nu teu ditampik ,syukur kengeng munajat ti gusti,,kempel sareng kulawargi,,",bungah datang teu wasa balik mendak bagja nu teu ditampik  syukur kengeng munajat ti gusti  kempel sareng kulawargi  ,bungah datang teu wasa balik mendak bagja nu teu ditampik syukur kengeng munajat ti gusti kempel sareng kulawargi ,bungah datang teu wasa balik mendak bagja nu teu ditampik syukur kengeng munajat ti gusti kempel sareng kulawargi ,bungah datang teu wasa balik mendak bagja nu boga teu ditampik syukur kengeng munajat ti gusti kempel sareng kulawargi,bungah datang teu wasa balik mendak bagja boga teu ditampik kengeng munajat kempel kulawargi,"['bungah', 'datang', 'teu', 'wasa', 'balik', 'mendak', 'bagja', 'boga', 'teu', 'ditampik', 'kengeng', 'munajat', 'kempel', 'kulawargi']"
joy,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,atuh di mana aya subtitle kieu ngeunaheun macana jeung ngeunah seuri,aya subtitle ngeunaheun macana ngeunah seuri,"['aya', 'subtitle', 'ngeunaheun', 'macana', 'ngeunah', 'seuri']"
anger,"Matakna jd perempuan jgn bodoh atu, rek naon ngadatangan si botak ... beuuuhhh, Anti galau mah sholat sing kereup ... dodol","matakna jd perempuan jgn bodoh atu, rek naon ngadatangan si botak ... beuuuhhh, anti galau mah sholat sing kereup ... dodol","matakna jd perempuan jgn bodoh atu, rek naon ngadatangan si botak ... beuh, anti galau mah sholat sing kereup ... dodol",matakna jd perempuan jgn bodoh atu  rek naon ngadatangan si botak     beuh  anti galau mah sholat sing kereup     dodol,matakna jd perempuan jgn bodoh atu rek naon ngadatangan si botak beuh anti galau mah sholat sing kereup dodol,matakna jd perempuan jgn bodoh atu rek naon ngadatangan si botak beuh anti galau mah sholat sing kereup dodol,matakna jd perempuan jgn bodoh atu rek naon ngadatangan si botak beuh anti galau mah sholat sing saha kereup dodol,matakna jd perempuan jgn bodoh atu ngadatangan botak anti galau sholat sing kereup dodol,"['matakna', 'jd', 'perempuan', 'jgn', 'bodoh', 'atu', 'ngadatangan', 'botak', 'anti', 'galau', 'sholat', 'sing', 'kereup', 'dodol']"
joy,"Alhamdulilla, atos majeng ayeuna mah, mudah-mudahan teras majeng salamina, bingah ningal sareng ngupingna.","alhamdulilla, atos majeng ayeuna mah, mudah-mudahan teras majeng salamina, bingah ningal sareng ngupingna.","alhamdulilah, atos majeng ayeuna mah, mudah-mudahan teras majeng salamina, bingah ningal sareng ngupingna.",alhamdulilah  atos majeng ayeuna mah  mudah mudahan teras majeng salamina  bingah ningal sareng ngupingna ,alhamdulilah atos majeng ayeuna mah mudah mudahan teras majeng salamina bingah ningal sareng ngupingna ,alhamdulilah atos majeng ayeuna mah mudah mudahan teras majeng salamina bingah ningal sareng ngupingna ,alhamdulilah atos majeng ayeuna mah mudah mudahan teras majeng salamina bingah ningal sareng ngupingna,atos majeng ayeuna mudah mudahan majeng salamina bingah ningal ngupingna,"['atos', 'majeng', 'ayeuna', 'mudah', 'mudahan', 'majeng', 'salamina', 'bingah', 'ningal', 'ngupingna']"
fear,"Ga kebayang kl jadi penduduk di sekitar gunung merapi. Pasti riweuh, sieun, ngaderegdeg. Kl mau aman, hrs ngungsi minimal 20 KM","ga kebayang kl jadi penduduk di sekitar gunung merapi. pasti riweuh, sieun, ngaderegdeg. kl mau aman, hrs ngungsi minimal 20 km","ga kebayang kl jadi penduduk di sekitar gunung merapi. pasti riweuh, sieun, ngaderegdeg. kl mau aman, hrs ngungsi minimal 20 km",ga kebayang kl jadi penduduk di sekitar gunung merapi  pasti riweuh  sieun  ngaderegdeg  kl mau aman  hrs ngungsi minimal    km,ga kebayang kl jadi penduduk di sekitar gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal km,ga kebayang kl jadi penduduk di sekitar gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal km,ga kebayang kl jadi penduduk di sekitar gunung merapi pasti riweuh sieun ngaderegdeg kl mau aman hrs ngungsi minimal km,kebayang kl jadi penduduk gunung merapi riweuh sieun ngaderegdeg kl aman hrs ngungsi minimal km,"['kebayang', 'kl', 'jadi', 'penduduk', 'gunung', 'merapi', 'riweuh', 'sieun', 'ngaderegdeg', 'kl', 'aman', 'hrs', 'ngungsi', 'minimal', 'km']"
anger,Ngeselin bre lila si kehed te pira surat kesehatan nungguan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguanan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguanan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguanan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguanan sajam gblg teh setan,ngeselin bre lila si kehed te pira surat kesehatan nungguanan sajam gblg teh setan,ngeselin bre lila te pira surat kesehatan nungguanan sajam gblg,"['ngeselin', 'bre', 'lila', 'te', 'pira', 'surat', 'kesehatan', 'nungguanan', 'sajam', 'gblg']"
fear,"Peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna éta pikasieuneun. Urang angkat ka leuweung, saurna urang ampir nyampe (ka tujuan). pas nyampe kuring ngajerit jeung ceurik.","peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna éta pikasieuneun. urang angkat ka leuweung, saurna urang ampir nyampe (ka tujuan). pas nyampe kuring ngajerit jeung ceurik.","peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna éta pikasieuneun. urang angkat ka leuweung, saurna urang ampir nyampe (ka tujuan). pas nyampe kuring ngajerit jeung ceurik.",peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna  ta pikasieuneun  urang angkat ka leuweung  saurna urang ampir nyampe  ka tujuan   pas nyampe kuring ngajerit jeung ceurik ,peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna ta pikasieuneun urang angkat ka leuweung saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik ,peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna ta pikasieuneun urang angkat ka leuweung saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik ,peuting tadi kuring ngimpi ngeunaan aki kuring deui tapi waktosna ta pikasieuneun urang wilujeng angkat ka leuweung saurna urang ampir nyampe ka tujuan pas nyampe kuring ngajerit jeung ceurik,kuring ngimpi ngeunaan aki kuring waktosna ta pikasieuneun urang wilujeng angkat leuweung saurna urang ampir nyampe tujuan pas nyampe kuring ngajerit ceurik,"['kuring', 'ngimpi', 'ngeunaan', 'aki', 'kuring', 'waktosna', 'ta', 'pikasieuneun', 'urang', 'wilujeng', 'angkat', 'leuweung', 'saurna', 'urang', 'ampir', 'nyampe', 'tujuan', 'pas', 'nyampe', 'kuring', 'ngajerit', 'ceurik']"
anger,Eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena. Centang ku aing loba protes mah,eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena. centang ku aing loba protes mah,eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena. centang ku aing loba protes mah,eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena  centang ku aing loba protes mah,eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena centang ku aing loba protes mah,eweuh nu ngaran dunungan poe minggu mah kumaha aing gawena centang ku aing loba protes mah,eweuh nu boga ngaran dunungan poe minggu mah kumaha aing gawena centang ku aing loba protes mah,eweuh boga ngaran dunungan poe minggu gawena centang loba protes,"['eweuh', 'boga', 'ngaran', 'dunungan', 'poe', 'minggu', 'gawena', 'centang', 'loba', 'protes']"
anger,"Carekan mang,tuman nu kitu teh sok hayang nakol tangkurak na aingmah","carekan mang,tuman nu kitu teh sok hayang nakol tangkurak na aingmah","carekan mang,tuman nu kitu teh sok hayang nakol tangkurak na aingmah",carekan mang tuman nu kitu teh sok hayang nakol tangkurak na aingmah,carekan mang tuman nu kitu teh sok hayang nakol tangkurak na aingmah,carekan mang tuman nu kitu teh sok hayang nakol tangkurak na aingmah,carekan mang tuman nu boga kitu teh sok hayang nakol tangkurak na aingmah,carekan mang tuman boga hayang nakol tangkurak aingmah,"['carekan', 'mang', 'tuman', 'boga', 'hayang', 'nakol', 'tangkurak', 'aingmah']"
fear,Asa keueung Hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,asa keueung hirup di zaman sontoloyo,keueung hirup zaman sontoloyo,"['keueung', 'hirup', 'zaman', 'sontoloyo']"
anger,"Nggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu Euweuh gawe pisan hirupna Teu kaop sarua setik disebut nurutan, bubudakeun Belegug siah","nggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut nurutan, bubudakeun belegug siah","sanggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut nurutan, bubudakeun belegug siah",sanggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut nurutan  bubudakeun belegug siah,sanggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut nurutan bubudakeun belegug siah,sanggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut nurutan bubudakeun belegug siah,sanggeus atuh goblog parasea we hayoh plagiat ieu plagiat itu euweuh gawe pisan hirupna teu kaop sarua setik disebut-sebut nurutan bubudakeun belegug siah,sanggeus parasea hayoh plagiat plagiat euweuh gawe hirupna teu kaop sarua setik disebut-sebut nurutan bubudakeun belegug siah,"['sanggeus', 'parasea', 'hayoh', 'plagiat', 'plagiat', 'euweuh', 'gawe', 'hirupna', 'teu', 'kaop', 'sarua', 'setik', 'disebut-sebut', 'nurutan', 'bubudakeun', 'belegug', 'siah']"
joy,|teu ereun nyakakak nyakikik dugi ka nolol panon || sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk|,|teu ereun nyakakak nyakikik dugi ka nolol panon || sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk|,|teu ereun nyakakak nyakikik dugi ka nolol panon || sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk|, teu ereun nyakakak nyakikik dugi ka nolol panon    sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk , teu ereun nyakakak nyakikik dugi ka nolol panon sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk , teu ereun nyakakak nyakikik dugi ka nolol panon sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk ,teu ereun nyakakak nyakikik dugi ka nolol panon sok jadi hayang ngajenggut pipi nyiwit buuk wkwkwk,teu ereun nyakakak nyakikik dugi nolol panon jadi hayang pipi nyiwit buuk,"['teu', 'ereun', 'nyakakak', 'nyakikik', 'dugi', 'nolol', 'panon', 'jadi', 'hayang', 'pipi', 'nyiwit', 'buuk']"
joy,Haturnuhun Ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun deui para distrik mugia taun ieu karompak deui sareng te silih pagedrug antar distrik,haturnuhun ang tos merhatoskeun distrik mugia taun karompak te silih pagedrug distrik,"['haturnuhun', 'ang', 'tos', 'merhatoskeun', 'distrik', 'mugia', 'taun', 'karompak', 'te', 'silih', 'pagedrug', 'distrik']"
sadness,Karunya meuni di kepret kitu pantat na:(,karunya meuni di kepret kitu pantat na:(,karunya meuni di kepret kitu pantat na:(,karunya meuni di kepret kitu pantat na  ,karunya meuni di kepret kitu pantat na ,karunya meuni di kepret kitu pantat na ,karunya meuni di kepret kitu pantat na,karunya meuni kepret pantat,"['karunya', 'meuni', 'kepret', 'pantat']"
anger,Aslina min jangar kanu Hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie Cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina min jangar kanu hulu hayam na oge bayangkan min salaki abi gawe di lising nya kabeh aplikasi di rijek min piduiteun teh ath zonk rk kmh abi mayaran hutang ath min kie cara na mah,aslina kanu hulu hayam bayangkan salaki gawe lising kabeh aplikasi rijek piduiteun ath zonk rk kmh mayaran hutang ath cara,"['aslina', 'kanu', 'hulu', 'hayam', 'bayangkan', 'salaki', 'gawe', 'lising', 'kabeh', 'aplikasi', 'rijek', 'piduiteun', 'ath', 'zonk', 'rk', 'kmh', 'mayaran', 'hutang', 'ath', 'cara']"
fear,Aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu aneh mampret ah,aslinya serem uy niat niis ningali nu boga aneh mampret ah,aslinya serem niat ningali boga aneh mampret,"['aslinya', 'serem', 'niat', 'ningali', 'boga', 'aneh', 'mampret']"
fear,Bakat ku nya'ah jeung sieun kaleungitan mneh urang teh,bakat ku nya'ah jeung sieun kaleungitan mneh urang teh,bakat ku nya'ah jeung sieun kaleungitan mneh urang teh,bakat ku nya ah jeung sieun kaleungitan mneh urang teh,bakat ku nya ah jeung sieun kaleungitan mneh urang teh,bakat ku nya ah jeung sieun kaleungitan mneh urang teh,bakat ku nya ah jeung sieun kaleungitan mneh urang teh,bakat sieun kaleungitan mneh urang,"['bakat', 'sieun', 'kaleungitan', 'mneh', 'urang']"
joy,"Ternyata aku masih berharap euy sama kamu, apalagi dikasih harapan gini mah makin atoh hahaha","ternyata aku masih berharap euy sama kamu, apalagi dikasih harapan gini mah makin atoh hahaha","ternyata aku masih berharap euy sama kamu, apalagi dikasih harapan gini mah makin atoh hahaha",ternyata aku masih berharap euy sama kamu  apalagi dikasih harapan gini mah makin atoh hahaha,ternyata aku masih berharap euy sama kamu apalagi dikasih harapan gini mah makin atoh hahaha,ternyata aku masih berharap euy sama kamu apalagi dikasih harapan gini mah makin atoh hahaha,ternyata aku masih berharap euy sama kamu apalagi dikasih harapan gini mah makin atoh hahaha,ternyata berharap dikasih harapan gini atoh,"['ternyata', 'berharap', 'dikasih', 'harapan', 'gini', 'atoh']"
anger,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,aduh kehed jingan sia monyet,jingan monyet,"['jingan', 'monyet']"
fear,"Di belakang rumah aku ada yang meninggal, cucu-cucunya pada nangis patarik tarik:( sarieun pisan","di belakang rumah aku ada yang meninggal, cucu-cucunya pada nangis patarik tarik:( sarieun pisan","di belakang rumah aku ada yang ajalkeun, cucu-cucunya pada nangis patarik tarik:( sarieun pisan",di belakang rumah aku ada yang ajalkeun  cucu cucunya pada nangis patarik tarik   sarieun pisan,di belakang rumah aku ada yang ajalkeun cucu cucunya pada nangis patarik tarik sarieun pisan,di belakang rumah aku ada yang ajalkeun cucu cucunya pada nangis patarik tarik sarieun pisan,di belakang rumah aku ada yang ajalkeun cucu cucunya pada nangis patarik tarik sarieun pisan,belakang rumah ajalkeun cucu cucunya nangis patarik tarik sarieun,"['belakang', 'rumah', 'ajalkeun', 'cucu', 'cucunya', 'nangis', 'patarik', 'tarik', 'sarieun']"
joy,Nuhun gusti atas rizki mu meski pengangguran aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,nuhun gusti atas rizki mu meski pengangguran aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,nuhun gusti atas rizki mu meski ngangur aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,nuhun gusti atas rizki mu meski ngangur aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,nuhun gusti atas rizki mu meski ngangur aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,nuhun gusti atas rizki mu meski ngangur aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,hatur nuhun gusti atas rizki mu meski ngangur aku masih bisa piknik bae sorangan wae ge da nimbel sa rantang,hatur nuhun atas rizki mu ngangur piknik sorangan nimbel sa rantang,"['hatur', 'nuhun', 'atas', 'rizki', 'mu', 'ngangur', 'piknik', 'sorangan', 'nimbel', 'sa', 'rantang']"
joy,Bagja akang mah...ningali nu boga adi nurut teh...eim,bagja akang mah...ningali nu boga adi nurut teh...eim,bagja akang mah...ningali nu boga adi nurut teh...eim,bagja akang mah   ningali nu boga adi nurut teh   eim,bagja akang mah ningali nu boga adi nurut teh eim,bagja akang mah ningali nu boga adi nurut teh eim,bagja akang mah ningali nu boga boga adi nurut teh eim,bagja akang ningali boga boga adi nurut,"['bagja', 'akang', 'ningali', 'boga', 'boga', 'adi', 'nurut']"
